2026-02-01 00:00:31 | ERROR | db | Service dependency not responding dependency=redis (env=prod, region=ap-southeast-1, ip=144.47.20.179, request_id=tvmyjsy2wlde7498, trace_id=uzq76ecnajo7un2vwr082o3b, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:03:55 | INFO | db | User logout success user_id=8746 (env=prod, region=me-south-1, ip=242.216.185.130, request_id=uj09618i0tcnoluq, trace_id=cv4876r5699m7f1xvwlq36j4, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:04:14 | INFO | db | Metrics pushed cpu=21% mem=60% (env=prod, region=us-east-1, ip=42.60.35.175, request_id=phwsgz5dnyaqkasz, trace_id=4b51ma13u73x1fm29wslujh1, ua="PostmanRuntime/7.36.0")
2026-02-01 00:04:56 | INFO | db | User login success user_id=4721 (env=staging, region=eu-west-1, ip=154.205.83.131, request_id=zl9qkrb0m2p680bb, trace_id=um151ak313xjsuacue9mzdfq, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:05:43 | INFO | db | POST /login 502 (2013ms) (env=prod, region=me-south-1, ip=32.104.12.126, request_id=8614o9089dklqfzj, trace_id=69piegyorwysmibcp2qki58m, ua="curl/8.4.0")
2026-02-01 00:05:55 | ERROR | db | Service dependency not responding dependency=redis (env=dev, region=ap-southeast-1, ip=119.54.3.29, request_id=ma1g2rxtdrg7mh6w, trace_id=0kaozh0r2nokmdc65ctgj3rn, ua="curl/8.4.0")
2026-02-01 00:06:11 | INFO | db | Config loaded version=4.6.1 (env=staging, region=me-south-1, ip=16.84.171.62, request_id=ne9xe82zcsqptasb, trace_id=bevr87po1gv67nba3io4ci5s, ua="curl/8.4.0")
2026-02-01 00:07:22 | INFO | db | Batch processed records=4347 duration_ms=1176 (env=prod, region=us-east-1, ip=45.210.241.196, request_id=79e535ji1crpam3w, trace_id=1ky3uyzp99ns5l0an72vbw59, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:07:27 | INFO | db | File uploaded id=file_7poy28tv9w bytes=2522875 (env=prod, region=ap-southeast-1, ip=25.71.207.24, request_id=oqml86lzvwy260nt, trace_id=k5q35l77jn7j32tgqecd9ef1, ua="PostmanRuntime/7.36.0")
2026-02-01 00:09:01 | INFO | db | File uploaded id=file_48xs0upcil bytes=350411 (env=prod, region=eu-west-1, ip=201.12.55.204, request_id=r0ol1nfcye8qnsgk, trace_id=6uzigf2a4fuqp1q8852lmjda, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:09:07 | ERROR | db | DB timeout while fetching user profile user_id=8206 (env=prod, region=eu-west-1, ip=100.169.222.98, request_id=chug2apx2mt7ztwu, trace_id=28le72orxbd6ru9le3r6nxoy, ua="curl/8.4.0")
2026-02-01 00:09:08 | INFO | db | Cache hit key=user:5505 ttl_s=2647 (env=prod, region=ap-southeast-1, ip=216.11.135.76, request_id=uxio2rdfnod9nm67, trace_id=fypslvcgz3d8wvgtfa02rv61, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:09:15 | WARN | db | Temporary network jitter detected rtt_ms=822 (env=prod, region=ap-southeast-1, ip=229.105.155.249, request_id=72blaxuivkoquvd3, trace_id=ptc7qr4u1moo38nr5pqs1bu9, ua="curl/8.4.0")
2026-02-01 00:09:46 | INFO | db | User login success user_id=7795 (env=prod, region=eu-west-1, ip=204.23.10.210, request_id=skgh5hj0mo7nfadi, trace_id=jb84tl7b8z7ohvnbzt1mdeto, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:10:32 | INFO | db | User login success user_id=9680 (env=prod, region=ap-southeast-1, ip=21.61.144.96, request_id=kgcoosy1q7sfchmu, trace_id=xixlz0riy5yizfywr5hbzia7, ua="curl/8.4.0")
2026-02-01 00:10:54 | INFO | db | Cache hit key=sess:3388 ttl_s=3197 (env=dev, region=eu-west-1, ip=133.184.220.69, request_id=subqt74sz8iijzo4, trace_id=u0pc57dbfg9hafkae11we4nf, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:11:01 | INFO | db | User logout success user_id=2404 (env=dev, region=ap-southeast-1, ip=1.31.147.57, request_id=edoggc6lez8zrn23, trace_id=4ugo2qutxfipw4p00zk03in2, ua="curl/8.4.0")
2026-02-01 00:11:16 | ERROR | db | Payment gateway returned 400 provider=stripe (env=prod, region=us-east-1, ip=31.109.138.184, request_id=gouzwyvxyvgsdxg1, trace_id=tas31wj8tycy7sro0brvv5w2, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:11:23 | WARN | db | Retrying request to upstream service attempt=1 (env=prod, region=us-east-1, ip=227.195.142.153, request_id=dhysvfdm4yy8tawv, trace_id=686x1crt53leissayk34pfal, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:11:24 | WARN | db | Elevated error rate observed window_s=300 rate=5.1% (env=prod, region=me-south-1, ip=106.169.93.113, request_id=h6r4x1xx6bo8uhbk, trace_id=dldnojdtl102joox6lft02ou, ua="curl/8.4.0")
2026-02-01 00:11:25 | INFO | db | Config loaded version=4.1.22 (env=prod, region=eu-west-1, ip=84.190.170.62, request_id=qs0816ibuna8z3q9, trace_id=avmmcnnlawz9ackx6qyy84ns, ua="PostmanRuntime/7.36.0")
2026-02-01 00:11:35 | INFO | db | Batch processed records=2317 duration_ms=2578 (env=prod, region=ap-southeast-1, ip=108.124.251.211, request_id=w44mey5otd6p2igx, trace_id=4076t85aws7x77sulhkf0b6q, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:12:13 | INFO | db | Cache miss key=cart:5037 (env=staging, region=ap-southeast-1, ip=118.166.217.127, request_id=dvfw3z8gb01wiwy5, trace_id=eyqmnol2tg8wubixktxf5nzm, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:12:29 | WARN | db | High memory usage warning mem=68% (env=staging, region=ap-southeast-1, ip=28.225.18.237, request_id=stsoi4dkzhl2hbki, trace_id=5sq0vx230179v68hz2shxy6x, ua="PostmanRuntime/7.36.0")
2026-02-01 00:12:59 | INFO | db | Token refreshed user_id=3198 (env=prod, region=us-east-1, ip=131.152.228.42, request_id=xnrjwrphbsvsmig5, trace_id=7ftcjoxoygwnphd6j16vxngl, ua="curl/8.4.0")
2026-02-01 00:13:21 | INFO | db | Batch processed records=4962 duration_ms=238 (env=staging, region=eu-west-1, ip=89.16.16.192, request_id=woio0v3roao5gu1v, trace_id=wzbowg1ase5ja148mb2d2pyw, ua="PostmanRuntime/7.36.0")
2026-02-01 00:14:21 | INFO | db | Token refreshed user_id=5816 (env=prod, region=me-south-1, ip=202.114.203.200, request_id=h0htyq3b5eboiky9, trace_id=nbj2ad1xgtffxbm6isy9tu6z, ua="curl/8.4.0")
2026-02-01 00:14:33 | INFO | db | User login success user_id=9603 (env=prod, region=us-east-1, ip=71.176.56.148, request_id=yfvefr2ajhugbyiz, trace_id=3wzwci6msngb10ys3l2sx8tx, ua="curl/8.4.0")
2026-02-01 00:14:35 | INFO | db | Job completed successfully: job=sync-users duration_ms=3232 (env=prod, region=me-south-1, ip=63.79.32.191, request_id=l07ktyjtkdmek6wf, trace_id=bm7a77rb62cdd4y1ntu73a26, ua="curl/8.4.0")
2026-02-01 00:15:08 | INFO | db | User logout success user_id=7985 (env=prod, region=eu-west-1, ip=115.61.15.53, request_id=al35bnuga0bgsqr9, trace_id=87xu9g5cf95mqcdr9fuug4v0, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:15:20 | INFO | db | Cache hit key=user:4783 ttl_s=2541 (env=prod, region=eu-west-1, ip=85.172.35.72, request_id=gvuytq7w6466bw19, trace_id=0wb1xq7x7pcancinmhucjcu7, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:15:28 | INFO | db | User logout success user_id=9018 (env=prod, region=me-south-1, ip=156.179.34.7, request_id=vmds6gojc6vm7lrb, trace_id=s5umtltala6s6mzqebppt05e, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:15:32 | INFO | db | Cache hit key=sess:7710 ttl_s=786 (env=staging, region=me-south-1, ip=238.1.60.244, request_id=913ppo3j6cr66y0t, trace_id=qdig5s1qdjokz9xbh992tpoy, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:15:41 | INFO | db | Batch processed records=885 duration_ms=1614 (env=dev, region=ap-southeast-1, ip=244.254.196.67, request_id=kd3g7phi05atkz6g, trace_id=bytw4rs3yohfed9iii383yen, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:16:25 | INFO | db | Cache miss key=rate:4.36.134.235 (env=prod, region=ap-southeast-1, ip=4.36.134.235, request_id=nfu8xfpof0ul38mi, trace_id=b44x8ieosw693smfuiy5i7xq, ua="PostmanRuntime/7.36.0")
2026-02-01 00:16:35 | INFO | db | Job completed successfully: job=daily-report duration_ms=879 (env=dev, region=me-south-1, ip=92.228.97.180, request_id=6wiwplnsafi8x88s, trace_id=nwb4rc41fxjl7juugj9nn5jf, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:16:52 | INFO | db | Batch processed records=203 duration_ms=2837 (env=prod, region=eu-west-1, ip=109.46.51.175, request_id=hm0ulzlv1nk0wzpv, trace_id=z0cz3vr1t4km3duewxy1362s, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:16:58 | INFO | db | User logout success user_id=1995 (env=staging, region=us-east-1, ip=127.65.62.13, request_id=95rp6qryca0xytc5, trace_id=lhh1lrh5wce40od5173kfjw1, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:18:09 | WARN | db | High memory usage warning mem=95% (env=dev, region=me-south-1, ip=198.231.3.194, request_id=1c8415ckhcpx8t8r, trace_id=wd74ne95ep5i53ic1bu6rjz3, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:18:45 | INFO | db | Config loaded version=5.4.6 (env=prod, region=eu-west-1, ip=246.117.13.86, request_id=dvlgq3vqgypmpb5w, trace_id=iwsoybth565oecsf9ymgct9x, ua="PostmanRuntime/7.36.0")
2026-02-01 00:20:03 | INFO | db | Job completed successfully: job=cleanup-sessions duration_ms=3273 (env=prod, region=us-east-1, ip=211.60.116.142, request_id=z6lpnm1rr3pif3kn, trace_id=7iqkhz6aigvp2y0h7320d5o4, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:20:16 | WARN | db | Elevated error rate observed window_s=60 rate=14.4% (env=staging, region=me-south-1, ip=34.251.54.77, request_id=inmf3q369o7olib6, trace_id=ja25slv42vh8fx5adi631obb, ua="PostmanRuntime/7.36.0")
2026-02-01 00:20:51 | INFO | db | Token refreshed user_id=1494 (env=staging, region=eu-west-1, ip=74.183.152.42, request_id=ptcwch6bms41evrs, trace_id=tuzvsuhkk2yzvk0ybb4cwtne, ua="PostmanRuntime/7.36.0")
2026-02-01 00:21:25 | INFO | db | Batch processed records=4484 duration_ms=1375 (env=prod, region=us-east-1, ip=91.32.206.135, request_id=cqmulgow15yqcpjd, trace_id=zjsbztdzesy0i18jarbcrpid, ua="curl/8.4.0")
2026-02-01 00:21:26 | INFO | db | Cache miss key=cart:3917 (env=staging, region=us-east-1, ip=204.11.84.64, request_id=8vga11wy1u9i9mi9, trace_id=wowqe2oiqv4lk053661doaij, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:21:38 | WARN | db | Circuit breaker half-open dependency=redis (env=staging, region=me-south-1, ip=40.217.244.210, request_id=ke2d12dic63t0kwr, trace_id=4e5chrdtvfytwevaogmzv7xg, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:21:56 | INFO | db | Metrics pushed cpu=87% mem=73% (env=prod, region=eu-west-1, ip=188.4.95.45, request_id=6489qhj8sgrmuj95, trace_id=vteo1op6rjm42sxa6jdvh6n4, ua="curl/8.4.0")
2026-02-01 00:22:18 | INFO | db | User login success user_id=1712 (env=dev, region=eu-west-1, ip=237.139.200.139, request_id=cqac3oo6cph6moqi, trace_id=51ohmlwq0s47nux9jzjcmbwi, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:23:10 | INFO | db | Batch processed records=283 duration_ms=2834 (env=prod, region=eu-west-1, ip=228.64.97.80, request_id=hyd5q7act53izvgm, trace_id=m1wmatwl5nwxl26adqxckypd, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:23:18 | INFO | db | Token refreshed user_id=8825 (env=staging, region=me-south-1, ip=237.241.230.162, request_id=i3rbrmzwd406f1qe, trace_id=svkiuavzu02667xmmhhtvbif, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:23:50 | INFO | db | POST /payments/charge 500 (60ms) (env=staging, region=eu-west-1, ip=62.191.36.48, request_id=9zv9mj3lkvc62eqp, trace_id=zmfezd4ofif4pxyg2lwl97om, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:24:09 | INFO | db | Metrics pushed cpu=58% mem=91% (env=prod, region=eu-west-1, ip=8.60.45.141, request_id=okbzvfou4y2jhs9m, trace_id=fbpz6sn5oaphl751n6fcta2b, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:24:48 | INFO | db | Job completed successfully: job=rebuild-index duration_ms=485 (env=dev, region=eu-west-1, ip=55.249.74.60, request_id=dhingvsum1xmc4a5, trace_id=dx7jckj8q04b53zywhiicj3r, ua="PostmanRuntime/7.36.0")
2026-02-01 00:24:55 | INFO | db | Cache miss key=sess:2691 (env=prod, region=ap-southeast-1, ip=65.185.118.176, request_id=7h33uwrlpjkf606a, trace_id=p65fghy47tcgg7zn3zabmuom, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:24:56 | INFO | db | File uploaded id=file_ah65utz023 bytes=4845981 (env=prod, region=eu-west-1, ip=134.183.193.136, request_id=506llu3i3647fza0, trace_id=5cgkolj4lci7xewlc0zb27kj, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:24:58 | INFO | db | User logout success user_id=1728 (env=prod, region=eu-west-1, ip=232.196.6.80, request_id=ceyzgy1zf523i8qw, trace_id=pdxjjd1jfeu0y2b6qcb9erli, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:25:22 | INFO | db | Cache hit key=sess:8853 ttl_s=2977 (env=prod, region=us-east-1, ip=201.140.254.70, request_id=gd3dnmo7aofn87q1, trace_id=avlbx0qu1smqxtt68mudn6cd, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:25:24 | INFO | db | File uploaded id=file_3s9d2zac04 bytes=9614412 (env=prod, region=eu-west-1, ip=233.183.124.202, request_id=xmqtvvz14zwosc48, trace_id=nv9l977g963n2laqx4x0pp8l, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:25:36 | INFO | db | Cache miss key=user:7329 (env=prod, region=ap-southeast-1, ip=68.33.226.41, request_id=89ztx9r68xcnqirg, trace_id=l729f45vjpmtw7qpo63fytu9, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:25:47 | INFO | db | Cache miss key=user:9950 (env=staging, region=eu-west-1, ip=156.35.46.34, request_id=n03wxdz7swirfw0w, trace_id=9bqzsh725l7ppzy4w0rxr4g8, ua="PostmanRuntime/7.36.0")
2026-02-01 00:26:02 | INFO | db | User login success user_id=2446 (env=prod, region=us-east-1, ip=109.37.169.157, request_id=306m9cr00d0398gu, trace_id=4kkx9phykmzt8nd0vh7vqvo4, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:26:05 | INFO | db | Metrics pushed cpu=74% mem=10% (env=prod, region=ap-southeast-1, ip=51.46.52.88, request_id=joeq22cild0hf2qs, trace_id=exgjt76t10i020tvl6u8mdpo, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:26:14 | INFO | db | Job completed successfully: job=send-digests duration_ms=1152 (env=prod, region=us-east-1, ip=190.252.250.20, request_id=83hq2kdpzsq6x0wc, trace_id=rzyuht7s9jqdxubr6r8m2vo2, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:26:34 | WARN | db | High memory usage warning mem=78% (env=prod, region=us-east-1, ip=31.199.67.52, request_id=akzvlfhd9zi2h76f, trace_id=asjbmjn9y2ssg2vn4lwzljqr, ua="curl/8.4.0")
2026-02-01 00:26:47 | INFO | db | Cache miss key=inv:SKU26901 (env=prod, region=eu-west-1, ip=237.199.232.251, request_id=0brbvwxf1s5ye755, trace_id=u6xd3d1rof137854xvjso5jo, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:27:53 | WARN | db | Temporary network jitter detected rtt_ms=71 (env=prod, region=us-east-1, ip=154.195.45.53, request_id=4u25hnd7orws9wbq, trace_id=q2tk8j1kup9t3d1krf3cykul, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:28:02 | INFO | db | Token refreshed user_id=2195 (env=dev, region=me-south-1, ip=114.24.240.65, request_id=3nkpjudrbljpa2eo, trace_id=vrh3hclrbjhj0lkq19kyckog, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:28:12 | INFO | db | File uploaded id=file_jzgu1mzvg0 bytes=2122932 (env=prod, region=us-east-1, ip=194.37.45.187, request_id=zdo077fatbd278sq, trace_id=6etpy6f1ohdjq0q2hcs7floc, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:28:24 | WARN | db | Temporary network jitter detected rtt_ms=434 (env=prod, region=us-east-1, ip=38.69.141.105, request_id=5flmrp2utmmj6xih, trace_id=lt0yszflc0ai2ii5p51vca2y, ua="curl/8.4.0")
2026-02-01 00:28:33 | INFO | db | Metrics pushed cpu=50% mem=25% (env=prod, region=eu-west-1, ip=202.29.127.12, request_id=0bfo9u1vjq5vrnbq, trace_id=any8f146lubybkqoihknj3ng, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:28:44 | INFO | db | File uploaded id=file_9y6n25ofbe bytes=3938748 (env=staging, region=eu-west-1, ip=164.243.93.15, request_id=bc5iirso0u3jutv8, trace_id=vu4j4vb5v1l0fc3z9tput1qu, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:29:32 | INFO | db | Metrics pushed cpu=78% mem=15% (env=prod, region=ap-southeast-1, ip=16.118.102.26, request_id=8f2ihgyi46xq089x, trace_id=8ekq5la6p9iebmfzls8hsd7w, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:30:00 | WARN | db | Rate limit nearing threshold remaining=31 (env=prod, region=us-east-1, ip=63.192.157.16, request_id=bxuhv3n5qs776jje, trace_id=zfgx8k2nrbxvdo4wg0mghkc0, ua="curl/8.4.0")
2026-02-01 00:30:27 | WARN | db | High memory usage warning mem=82% (env=dev, region=eu-west-1, ip=133.77.143.140, request_id=mutdoq23a18826zh, trace_id=69ayl306zjmvk1jhzlvoo6cd, ua="PostmanRuntime/7.36.0")
2026-02-01 00:30:48 | WARN | db | High memory usage warning mem=84% (env=dev, region=me-south-1, ip=222.151.176.233, request_id=k13tcl1vymakswy3, trace_id=z0jbgv7godpu2h0u63hlxd7h, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:31:02 | INFO | db | User login success user_id=3908 (env=prod, region=ap-southeast-1, ip=122.95.84.211, request_id=6tx7w0yltn3nttbs, trace_id=yh0etroytria7ec5x7bcf0eq, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:31:05 | INFO | db | Cache hit key=sess:1081 ttl_s=2313 (env=prod, region=us-east-1, ip=151.112.200.228, request_id=tkstabr6c6k95ax7, trace_id=zf3hsbewt3wkjoei4g3r2jty, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:31:07 | WARN | db | Disk usage above 80% disk=99% (env=prod, region=us-east-1, ip=55.166.58.13, request_id=yt91xdlfpizhhy3s, trace_id=2smtqo0adm29ba3mr6qtbhy3, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:31:23 | WARN | db | Retrying request to upstream service attempt=3 (env=prod, region=me-south-1, ip=219.204.127.250, request_id=ftywwpeankxrtpi4, trace_id=vesp7g586nvnqc14kbgjitx2, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:31:54 | ERROR | db | Connection refused dependency=search-index (env=prod, region=me-south-1, ip=179.56.200.160, request_id=ldswtjk78lfobo31, trace_id=lly5zrzw8fxgji6izhihjmui, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:31:55 | INFO | db | Cache miss key=rate:5.71.46.184 (env=dev, region=us-east-1, ip=5.71.46.184, request_id=oorykz2lnn5npr9w, trace_id=uzm8tx6ah4pm1umsjzjgxim5, ua="curl/8.4.0")
2026-02-01 00:32:29 | INFO | db | Job completed successfully: job=rebuild-index duration_ms=1154 (env=prod, region=me-south-1, ip=64.232.48.46, request_id=s46bkevfyiylehk7, trace_id=2smfqdw1yqrq2w4urmqq9ys8, ua="curl/8.4.0")
2026-02-01 00:32:47 | INFO | db | Metrics pushed cpu=32% mem=82% (env=dev, region=me-south-1, ip=237.169.47.119, request_id=90dwy4l6o3l6mid6, trace_id=5jesv1ff7obdi8xgse2ubwqm, ua="PostmanRuntime/7.36.0")
2026-02-01 00:33:17 | INFO | db | PUT /analytics/event 400 (1569ms) (env=prod, region=eu-west-1, ip=43.187.86.167, request_id=5f6zrat8j48fmvfp, trace_id=2kkebjul0hhqrkjx3oozvjdn, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:33:32 | INFO | db | Batch processed records=2251 duration_ms=3489 (env=prod, region=us-east-1, ip=196.174.213.227, request_id=1tbduzn520xy3aun, trace_id=1hc9gj6zgltj1xjwdb01yorm, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:33:34 | INFO | db | Metrics pushed cpu=63% mem=75% (env=prod, region=eu-west-1, ip=30.249.158.230, request_id=icv9etul32h8s3t7, trace_id=d2knvo5gj9ruunb0mmtp0ojb, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:33:41 | INFO | db | Config loaded version=3.6.49 (env=prod, region=eu-west-1, ip=79.62.211.77, request_id=g22al33q21chasfk, trace_id=krma0brkio3pize8pp2im0kg, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:33:45 | WARN | db | High memory usage warning mem=61% (env=staging, region=eu-west-1, ip=99.243.9.248, request_id=3iu5cg0jvg8ckljo, trace_id=xn7m43rch6zntfgl60b9mnrz, ua="PostmanRuntime/7.36.0")
2026-02-01 00:33:52 | INFO | db | Batch processed records=2574 duration_ms=764 (env=staging, region=us-east-1, ip=103.221.133.77, request_id=edrztx5zlama03ag, trace_id=1tj31i4rmayepk81dizz2loy, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:33:54 | INFO | db | Config loaded version=5.19.9 (env=prod, region=eu-west-1, ip=218.113.80.179, request_id=0ehgq9fmzyjxdpam, trace_id=i96w55apm3obyzgpm3urjox8, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:34:03 | INFO | db | Cache miss key=sess:2481 (env=staging, region=me-south-1, ip=187.100.97.205, request_id=lut0mmdf1jnph4fn, trace_id=c23g08bpom38m1oyhmbou3hl, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
